id,nom,type,responsable,budget,statut,nb_reunions,mois_depuis_activite,risque
118,Partenaire_118,Institution,Responsable_15,2776224,Active,13,1,0
119,Partenaire_119,Association,Responsable_10,515938,Suspendue,15,23,40
120,Partenaire_120,Institution,Responsable_2,2169879,En attente,6,9,0
121,Partenaire_121,Association,Responsable_30,3380999,Terminée,12,15,60
122,Partenaire_122,Association,Responsable_17,2690054,Suspendue,2,11,30
123,Partenaire_123,Association,Responsable_4,3411876,Suspendue,8,13,60
124,Partenaire_124,Institution,Responsable_33,3093225,En attente,8,6,20
125,Partenaire_125,Entreprise,Responsable_7,461038,Terminée,14,9,0
126,Partenaire_126,Université,Responsable_30,1338469,Terminée,0,12,30
127,Partenaire_127,Université,Responsable_32,4224441,En attente,11,1,20
128,Partenaire_128,Entreprise,Responsable_25,4636590,Terminée,11,20,60
129,Partenaire_129,Université,Responsable_21,4747105,Suspendue,11,4,20
130,Partenaire_130,Institution,Responsable_48,3077891,Terminée,17,16,60
131,Partenaire_131,Institution,Responsable_45,301263,En attente,20,9,0
132,Partenaire_132,Université,Responsable_25,1126354,Suspendue,20,16,40
133,Partenaire_133,Institution,Responsable_48,1887124,Active,17,20,40
134,Partenaire_134,Université,Responsable_30,2896631,Active,2,11,30
135,Partenaire_135,Institution,Responsable_40,3635451,En attente,9,16,60
136,Partenaire_136,Institution,Responsable_20,3332320,Active,6,6,20
137,Partenaire_137,Institution,Responsable_40,3297981,Active,4,12,20
138,Partenaire_138,Université,Responsable_40,2916602,Terminée,7,12,0
139,Partenaire_139,Institution,Responsable_26,3488045,Suspendue,2,6,50
140,Partenaire_140,Université,Responsable_4,1310749,Suspendue,19,7,0
141,Partenaire_141,Association,Responsable_10,1658305,En attente,17,22,40
142,Partenaire_142,Association,Responsable_34,4684073,Active,19,19,60
143,Partenaire_143,Entreprise,Responsable_44,1275585,En attente,18,20,40
144,Partenaire_144,Institution,Responsable_36,2906479,Suspendue,10,10,0
145,Partenaire_145,Entreprise,Responsable_5,3989584,Terminée,18,18,60
146,Partenaire_146,Institution,Responsable_17,3980069,Active,16,15,60
147,Partenaire_147,Association,Responsable_6,391338,Suspendue,16,20,40
148,Partenaire_148,Association,Responsable_23,2928755,En attente,9,16,40
149,Partenaire_149,Université,Responsable_21,2896885,Suspendue,8,23,40
150,Partenaire_150,Université,Responsable_39,971359,Suspendue,6,2,0
151,Partenaire_151,Institution,Responsable_41,3010137,En attente,13,0,20
152,Partenaire_152,Entreprise,Responsable_37,4465338,Terminée,9,11,20
153,Partenaire_153,Université,Responsable_9,483742,En attente,7,7,0
154,Partenaire_154,Entreprise,Responsable_15,1406218,Active,15,10,0
155,Partenaire_155,Association,Responsable_32,1021171,Active,5,24,40
156,Partenaire_156,Association,Responsable_43,2620780,Terminée,19,0,0
157,Partenaire_157,Université,Responsable_10,938457,Suspendue,6,8,0
158,Partenaire_158,Institution,Responsable_18,366076,Suspendue,19,22,40
159,Partenaire_159,Association,Responsable_14,4916703,En attente,19,6,20
160,Partenaire_160,Association,Responsable_32,1902800,Active,10,12,0
161,Partenaire_161,Entreprise,Responsable_50,2200063,Suspendue,3,7,0
162,Partenaire_162,Université,Responsable_25,965095,Suspendue,10,13,40
163,Partenaire_163,Université,Responsable_27,549640,En attente,19,8,0
164,Partenaire_164,Institution,Responsable_9,4724560,Suspendue,1,13,90
165,Partenaire_165,Institution,Responsable_34,1970848,Terminée,3,17,40
166,Partenaire_166,Institution,Responsable_2,2418420,Terminée,9,21,40
167,Partenaire_167,Association,Responsable_27,4021609,Terminée,16,4,20
168,Partenaire_168,Entreprise,Responsable_33,856518,En attente,15,11,0
169,Partenaire_169,Association,Responsable_30,1969342,En attente,3,10,0
170,Partenaire_170,Institution,Responsable_20,4128055,Suspendue,13,7,20
171,Partenaire_171,Association,Responsable_20,2159093,Suspendue,10,12,0
172,Partenaire_172,Entreprise,Responsable_22,1314611,Terminée,14,11,0
173,Partenaire_173,Entreprise,Responsable_17,3681556,Terminée,18,14,60
174,Partenaire_174,Entreprise,Responsable_25,4898867,Active,3,7,20
175,Partenaire_175,Association,Responsable_13,3411192,Suspendue,11,6,20
176,Partenaire_176,Institution,Responsable_44,189022,Suspendue,5,19,40
177,Partenaire_177,Association,Responsable_28,3845121,Active,19,6,20
178,Partenaire_178,Université,Responsable_47,4681223,Terminée,6,13,60
179,Partenaire_179,Entreprise,Responsable_13,4023583,En attente,13,16,60
180,Partenaire_180,Entreprise,Responsable_3,4768743,Suspendue,13,20,60
181,Partenaire_181,Entreprise,Responsable_16,2123768,Active,4,16,40
182,Partenaire_182,Université,Responsable_19,2529474,Suspendue,18,21,40
183,Partenaire_183,Entreprise,Responsable_16,3600133,En attente,10,15,60
184,Partenaire_184,Université,Responsable_28,4700687,Suspendue,18,14,60
185,Partenaire_185,Institution,Responsable_8,3088133,Active,3,9,20
186,Partenaire_186,Institution,Responsable_36,4205722,Terminée,11,21,60
187,Partenaire_187,Institution,Responsable_3,1807791,Terminée,14,1,0
188,Partenaire_188,Entreprise,Responsable_37,2016215,Terminée,13,3,0
189,Partenaire_189,Institution,Responsable_27,880313,Terminée,7,21,40
190,Partenaire_190,Association,Responsable_50,1898278,Suspendue,8,1,0
191,Partenaire_191,Institution,Responsable_48,4980059,En attente,6,19,60
192,Partenaire_192,Université,Responsable_28,4228056,En attente,4,18,60
193,Partenaire_193,Association,Responsable_30,2703176,En attente,1,14,70
194,Partenaire_194,Association,Responsable_38,2727623,Suspendue,20,6,0
195,Partenaire_195,Institution,Responsable_14,4158845,En attente,19,21,60
196,Partenaire_196,Institution,Responsable_41,2685154,Terminée,4,17,40
197,Partenaire_197,Entreprise,Responsable_16,3497842,Active,7,13,60
198,Partenaire_198,Université,Responsable_20,4261351,Terminée,2,12,50
199,Partenaire_199,Université,Responsable_11,157755,En attente,20,11,0
200,Partenaire_200,Université,Responsable_25,605215,En attente,4,17,40
201,Partenaire_201,Institution,Responsable_49,2086655,Suspendue,2,7,30
202,Partenaire_202,Université,Responsable_45,3822035,Terminée,9,12,20
203,Partenaire_203,Association,Responsable_6,1020677,Active,2,18,70
204,Partenaire_204,Entreprise,Responsable_6,4447827,Suspendue,6,22,60
205,Partenaire_205,Université,Responsable_38,2290175,Terminée,15,20,40
206,Partenaire_206,Institution,Responsable_43,1199672,Active,10,12,0
207,Partenaire_207,Université,Responsable_23,58798,Suspendue,10,17,40
208,Partenaire_208,Université,Responsable_30,4812299,Terminée,2,2,50
209,Partenaire_209,Institution,Responsable_1,3338015,Suspendue,19,23,60
210,Partenaire_210,Entreprise,Responsable_48,3570506,Active,6,19,60
211,Partenaire_211,Association,Responsable_49,3957769,Suspendue,8,19,60
212,Partenaire_212,Institution,Responsable_31,149048,Suspendue,16,9,0
213,Partenaire_213,Université,Responsable_38,3768620,Terminée,15,2,20
214,Partenaire_214,Université,Responsable_22,2866859,Active,2,20,70
215,Partenaire_215,Association,Responsable_40,4436902,Terminée,2,8,50
216,Partenaire_216,Association,Responsable_29,1554751,En attente,3,0,0
217,Partenaire_217,Association,Responsable_10,1961036,Active,9,1,0
218,Partenaire_218,Université,Responsable_50,3723802,Active,10,17,60
219,Partenaire_219,Entreprise,Responsable_29,3376945,Suspendue,6,8,20
220,Partenaire_220,Université,Responsable_35,4117625,En attente,7,11,20
221,Partenaire_221,Entreprise,Responsable_46,3438595,En attente,18,3,20
222,Partenaire_222,Institution,Responsable_1,2831937,Terminée,17,19,40
223,Partenaire_223,Entreprise,Responsable_15,4461338,Suspendue,18,16,60
224,Partenaire_224,Université,Responsable_50,1626370,Active,5,20,40
225,Partenaire_225,Université,Responsable_27,1827358,Suspendue,3,23,40
226,Partenaire_226,Institution,Responsable_3,4134986,En attente,16,19,60
227,Partenaire_227,Institution,Responsable_47,4388073,En attente,1,3,50
228,Partenaire_228,Entreprise,Responsable_3,4459740,Terminée,1,5,50
229,Partenaire_229,Institution,Responsable_3,4222936,Active,7,20,60
230,Partenaire_230,Institution,Responsable_31,1067651,Terminée,7,19,40
231,Partenaire_231,Institution,Responsable_40,2406312,Suspendue,19,3,0
232,Partenaire_232,Institution,Responsable_1,4998184,Active,11,15,60
233,Partenaire_233,Institution,Responsable_29,3513145,Suspendue,15,24,60
234,Partenaire_234,Université,Responsable_16,984981,Terminée,19,18,40
235,Partenaire_235,Institution,Responsable_22,3036477,Suspendue,11,8,20
236,Partenaire_236,Université,Responsable_10,1242097,Active,17,22,40
237,Partenaire_237,Association,Responsable_12,4591794,Suspendue,10,14,60
238,Partenaire_238,Université,Responsable_36,819084,Terminée,17,7,0
239,Partenaire_239,Entreprise,Responsable_13,3980820,Suspendue,7,12,20
240,Partenaire_240,Association,Responsable_23,3406308,Suspendue,16,19,60
241,Partenaire_241,Institution,Responsable_3,1760976,Suspendue,16,20,40
242,Partenaire_242,Association,Responsable_16,223434,Terminée,7,23,40
243,Partenaire_243,Université,Responsable_18,345866,Terminée,9,2,0
244,Partenaire_244,Institution,Responsable_20,2941560,En attente,9,5,0
245,Partenaire_245,Institution,Responsable_29,2364999,En attente,1,12,30
246,Partenaire_246,Institution,Responsable_38,3014262,En attente,6,8,20
247,Partenaire_247,Université,Responsable_14,685653,Terminée,15,23,40
248,Partenaire_248,Association,Responsable_15,2005172,Suspendue,5,1,0
249,Partenaire_249,Institution,Responsable_39,2114808,Active,4,6,0
250,Partenaire_250,Association,Responsable_24,2100558,Suspendue,8,9,0
251,Partenaire_251,Association,Responsable_38,3972878,Active,16,18,60
252,Partenaire_252,Institution,Responsable_9,4368927,En attente,17,24,60
253,Partenaire_253,Institution,Responsable_38,569803,En attente,13,0,0
254,Partenaire_254,Université,Responsable_33,664928,En attente,3,9,0
255,Partenaire_255,Université,Responsable_25,3775043,Suspendue,20,17,60
256,Partenaire_256,Association,Responsable_5,212780,Terminée,8,4,0
257,Partenaire_257,Institution,Responsable_11,3491576,Active,14,4,20
258,Partenaire_258,Entreprise,Responsable_2,2625629,Active,7,3,0
259,Partenaire_259,Institution,Responsable_7,390648,En attente,14,20,40
260,Partenaire_260,Université,Responsable_32,3877993,Terminée,10,8,20
261,Partenaire_261,Association,Responsable_50,4259029,En attente,13,10,20
262,Partenaire_262,Institution,Responsable_49,4260740,Suspendue,13,8,20
263,Partenaire_263,Association,Responsable_38,2409910,Terminée,4,16,40
264,Partenaire_264,Association,Responsable_18,505434,En attente,9,18,40
265,Partenaire_265,Université,Responsable_45,1698497,Suspendue,15,0,0
266,Partenaire_266,Entreprise,Responsable_31,1485584,Suspendue,0,23,70
267,Partenaire_267,Université,Responsable_2,927801,Suspendue,4,12,0
268,Partenaire_268,Association,Responsable_13,2555487,Active,15,17,40
269,Partenaire_269,Institution,Responsable_46,2914115,Suspendue,5,19,40
270,Partenaire_270,Entreprise,Responsable_15,1482767,Terminée,4,10,0
271,Partenaire_271,Entreprise,Responsable_12,562362,En attente,0,5,30
272,Partenaire_272,Entreprise,Responsable_17,3247098,Terminée,1,22,90
273,Partenaire_273,Institution,Responsable_40,1391040,Active,11,22,40
274,Partenaire_274,Institution,Responsable_17,452276,Suspendue,0,23,70
275,Partenaire_275,Association,Responsable_4,2366531,Active,9,23,40
276,Partenaire_276,Université,Responsable_3,4773514,Terminée,18,5,20
277,Partenaire_277,Institution,Responsable_49,2459148,Active,18,5,0
278,Partenaire_278,Entreprise,Responsable_16,1082767,Terminée,1,24,70
279,Partenaire_279,Institution,Responsable_16,168733,Active,3,1,0
280,Partenaire_280,Université,Responsable_11,4691756,Active,12,24,60
281,Partenaire_281,Association,Responsable_42,1933873,Suspendue,1,23,70
282,Partenaire_282,Institution,Responsable_40,1411949,Active,7,22,40
283,Partenaire_283,Université,Responsable_15,4230399,Suspendue,1,18,90
284,Partenaire_284,Université,Responsable_35,125827,Suspendue,7,24,40
285,Partenaire_285,Association,Responsable_7,1080363,Suspendue,13,15,40
286,Partenaire_286,Association,Responsable_9,1653199,Active,19,1,0
287,Partenaire_287,Université,Responsable_43,2707631,Suspendue,17,3,0
288,Partenaire_288,Association,Responsable_11,2750297,Suspendue,11,0,0
289,Partenaire_289,Entreprise,Responsable_29,858868,Suspendue,17,18,40
290,Partenaire_290,Université,Responsable_49,2518797,Terminée,7,4,0
291,Partenaire_291,Université,Responsable_24,556105,Suspendue,3,22,40
292,Partenaire_292,Association,Responsable_34,3634793,En attente,11,2,20
293,Partenaire_293,Université,Responsable_7,4248937,Terminée,2,6,50
294,Partenaire_294,Université,Responsable_36,4373030,Terminée,12,18,60
295,Partenaire_295,Entreprise,Responsable_33,1159283,En attente,17,13,40
296,Partenaire_296,Institution,Responsable_6,732297,Terminée,20,14,40
297,Partenaire_297,Entreprise,Responsable_26,766001,Suspendue,17,22,40
298,Partenaire_298,Entreprise,Responsable_22,2291585,En attente,0,24,70
299,Partenaire_299,Institution,Responsable_34,3273999,Active,10,8,20
300,Partenaire_300,Association,Responsable_37,334901,Active,6,4,0
301,Partenaire_301,Institution,Responsable_12,3753118,Terminée,8,8,20
302,Partenaire_302,Université,Responsable_42,2877775,Active,3,18,40
303,Partenaire_303,Entreprise,Responsable_7,302148,Terminée,12,13,40
304,Partenaire_304,Association,Responsable_40,3304147,En attente,1,0,50
305,Partenaire_305,Entreprise,Responsable_8,1951649,Active,16,3,0
306,Partenaire_306,Institution,Responsable_34,730426,Suspendue,14,24,40
307,Partenaire_307,Association,Responsable_20,4412178,Suspendue,7,12,20
308,Partenaire_308,Université,Responsable_23,4470659,Active,8,1,20
309,Partenaire_309,Institution,Responsable_36,1388064,Suspendue,12,20,40
310,Partenaire_310,Entreprise,Responsable_3,1710161,En attente,16,24,40
311,Partenaire_311,Université,Responsable_3,382285,Suspendue,9,4,0
312,Partenaire_312,Entreprise,Responsable_32,2629794,En attente,8,10,0
313,Partenaire_313,Institution,Responsable_47,4563472,Active,19,7,20
314,Partenaire_314,Entreprise,Responsable_4,1484138,En attente,3,12,0
315,Partenaire_315,Institution,Responsable_43,4097757,Suspendue,4,14,60
316,Partenaire_316,Institution,Responsable_48,516519,Suspendue,10,0,0
317,Partenaire_317,Institution,Responsable_42,137747,Active,16,23,40
318,Partenaire_318,Association,Responsable_23,1280939,Active,8,7,0
319,Partenaire_319,Université,Responsable_28,4261780,Active,6,20,60
320,Partenaire_320,Entreprise,Responsable_50,3138948,Suspendue,17,1,20
321,Partenaire_321,Institution,Responsable_17,4255851,Suspendue,18,1,20
322,Partenaire_322,Entreprise,Responsable_42,1486764,En attente,10,15,40
323,Partenaire_323,Université,Responsable_25,2569154,Active,11,11,0
324,Partenaire_324,Association,Responsable_46,1593977,Suspendue,7,12,0
325,Partenaire_325,Institution,Responsable_3,3144777,En attente,18,15,60
326,Partenaire_326,Association,Responsable_44,3816403,Active,19,3,20
327,Partenaire_327,Université,Responsable_33,569385,Suspendue,16,3,0
328,Partenaire_328,Association,Responsable_14,3105043,Suspendue,20,7,20
329,Partenaire_329,Université,Responsable_34,4943351,En attente,16,17,60
330,Partenaire_330,Institution,Responsable_35,54293,Terminée,9,20,40
331,Partenaire_331,Université,Responsable_49,2561464,Terminée,18,8,0
332,Partenaire_332,Association,Responsable_9,171470,Suspendue,17,11,0
333,Partenaire_333,Association,Responsable_8,1928647,Suspendue,10,5,0
334,Partenaire_334,Institution,Responsable_19,131750,Terminée,14,9,0
335,Partenaire_335,Institution,Responsable_39,4669056,Suspendue,2,12,50
336,Partenaire_336,Université,Responsable_49,4817231,Terminée,5,20,60
337,Partenaire_337,Entreprise,Responsable_40,2492564,Active,20,14,40
338,Partenaire_338,Université,Responsable_40,4058599,Suspendue,17,5,20
339,Partenaire_339,Institution,Responsable_20,418642,Terminée,13,23,40
340,Partenaire_340,Association,Responsable_43,3875527,Active,16,10,20
341,Partenaire_341,Université,Responsable_3,3946120,Terminée,16,23,60
342,Partenaire_342,Association,Responsable_24,2112490,Suspendue,16,0,0
343,Partenaire_343,Entreprise,Responsable_27,2176593,Suspendue,2,15,70
344,Partenaire_344,Association,Responsable_46,1252351,Suspendue,0,4,30
345,Partenaire_345,Université,Responsable_32,651297,Active,19,5,0
346,Partenaire_346,Association,Responsable_42,2133843,Terminée,13,5,0
347,Partenaire_347,Institution,Responsable_4,4312298,En attente,1,11,50
348,Partenaire_348,Association,Responsable_34,3372733,Active,20,19,60
349,Partenaire_349,Entreprise,Responsable_47,3383994,Suspendue,9,21,60
350,Partenaire_350,Entreprise,Responsable_49,4216598,Terminée,0,5,50
351,Partenaire_351,Université,Responsable_38,1148854,Active,9,2,0
352,Partenaire_352,Entreprise,Responsable_30,4266349,Terminée,17,0,20
353,Partenaire_353,Université,Responsable_23,355984,Terminée,8,13,40
354,Partenaire_354,Institution,Responsable_30,2521493,Suspendue,20,22,40
355,Partenaire_355,Association,Responsable_34,3187832,Terminée,6,8,20
356,Partenaire_356,Entreprise,Responsable_37,4469158,Terminée,12,9,20
357,Partenaire_357,Entreprise,Responsable_41,2004810,Terminée,16,21,40
358,Partenaire_358,Association,Responsable_23,4930230,Terminée,4,18,60
359,Partenaire_359,Université,Responsable_36,2034522,Terminée,0,11,30
360,Partenaire_360,Entreprise,Responsable_39,4393640,Terminée,17,7,20
361,Partenaire_361,Institution,Responsable_34,2593310,En attente,11,4,0
362,Partenaire_362,Association,Responsable_35,3516590,Suspendue,13,19,60
363,Partenaire_363,Association,Responsable_43,2506768,Terminée,11,9,0
364,Partenaire_364,Université,Responsable_16,1018307,Active,2,5,30
365,Partenaire_365,Association,Responsable_31,2591633,En attente,1,13,70
366,Partenaire_366,Université,Responsable_18,1401585,Suspendue,4,1,0
367,Partenaire_367,Entreprise,Responsable_21,2838549,Active,4,6,0
368,Partenaire_368,Association,Responsable_31,1420347,Active,12,18,40
369,Partenaire_369,Institution,Responsable_1,1491264,En attente,10,13,40
370,Partenaire_370,Institution,Responsable_45,1949639,Suspendue,14,16,40
371,Partenaire_371,Entreprise,Responsable_50,4814387,En attente,6,14,60
372,Partenaire_372,Entreprise,Responsable_42,3335809,Terminée,18,18,60
373,Partenaire_373,Association,Responsable_32,4146024,Terminée,19,14,60
374,Partenaire_374,Institution,Responsable_5,1240859,Active,20,0,0
375,Partenaire_375,Entreprise,Responsable_5,3999267,En attente,6,19,60
376,Partenaire_376,Institution,Responsable_27,916130,Terminée,15,22,40
377,Partenaire_377,Association,Responsable_22,326892,En attente,6,23,40
378,Partenaire_378,Entreprise,Responsable_22,3583809,Terminée,0,20,90
379,Partenaire_379,Université,Responsable_18,2769263,Terminée,14,14,40
380,Partenaire_380,Université,Responsable_33,1752724,Suspendue,7,24,40
381,Partenaire_381,Institution,Responsable_34,1588606,Suspendue,18,7,0
382,Partenaire_382,Association,Responsable_48,4732029,Suspendue,15,2,20
383,Partenaire_383,Entreprise,Responsable_45,3001999,Terminée,19,13,60
384,Partenaire_384,Institution,Responsable_45,1396877,Active,2,19,70
385,Partenaire_385,Université,Responsable_36,3785228,Terminée,9,6,20
386,Partenaire_386,Association,Responsable_33,1166035,Suspendue,18,12,0
387,Partenaire_387,Entreprise,Responsable_19,1194656,Active,14,4,0
388,Partenaire_388,Université,Responsable_46,3916101,Active,2,21,90
389,Partenaire_389,Institution,Responsable_30,1045139,Suspendue,3,16,40
390,Partenaire_390,Université,Responsable_27,78376,Active,13,16,40
391,Partenaire_391,Institution,Responsable_49,395510,Suspendue,4,6,0
392,Partenaire_392,Université,Responsable_39,3445618,Suspendue,11,11,20
393,Partenaire_393,Association,Responsable_7,4020302,Terminée,0,10,50
394,Partenaire_394,Entreprise,Responsable_46,152106,Terminée,15,20,40
